"","YEAR","type","T_yravg"
"157",1972,"maxtemp",53.8360655737705
"158",1972,"mintemp",33.5327868852459
"159",1973,"maxtemp",56.972602739726
"160",1973,"mintemp",36.641095890411
"161",1974,"maxtemp",54.9068493150685
"162",1974,"mintemp",34.186301369863
"163",1975,"maxtemp",56.0054794520548
"164",1975,"mintemp",35.3808219178082
"165",1976,"maxtemp",55.0983606557377
"166",1976,"mintemp",33.0956284153005
"167",1977,"maxtemp",56.158904109589
"168",1977,"mintemp",35.1534246575342
"169",1978,"maxtemp",55.4198895027624
"170",1978,"mintemp",31.8154269972452
"171",1979,"maxtemp",54.5093632958801
"172",1979,"mintemp",35.8862973760933
"173",1980,"maxtemp",54.4953560371517
"174",1980,"mintemp",31.8670694864048
"175",1981,"maxtemp",59.0173913043478
"176",1981,"mintemp",35.8039772727273
"177",1982,"maxtemp",57.6483516483516
"178",1982,"mintemp",33.3928571428571
"179",1983,"maxtemp",58.4747191011236
"180",1983,"mintemp",36.3202247191011
"181",1984,"maxtemp",56.8674351585014
"182",1984,"mintemp",34.2758620689655
"183",1985,"maxtemp",57.4944444444444
"184",1985,"mintemp",33.7083333333333
"185",1986,"maxtemp",57.8575342465753
"186",1986,"mintemp",33.441095890411
"187",1987,"maxtemp",59.1890410958904
"188",1987,"mintemp",33.4
"189",1988,"maxtemp",58.3479452054795
"190",1988,"mintemp",32.9342465753425
"191",1989,"maxtemp",58.6417910447761
"192",1989,"mintemp",32.6089552238806
"193",1990,"maxtemp",59.0690607734807
"194",1990,"mintemp",36.853591160221
"195",1991,"maxtemp",58.041782729805
"196",1991,"mintemp",36.849582172702
"197",1992,"maxtemp",54.8191780821918
"198",1992,"mintemp",33.6082191780822
"199",1993,"maxtemp",56.2335164835165
"200",1993,"mintemp",34.5137362637363
"201",1994,"maxtemp",55.5988857938719
"202",1994,"mintemp",34.5069637883008
"203",1995,"maxtemp",56.4082191780822
"204",1995,"mintemp",35.4438356164384
"205",1996,"maxtemp",55.5013774104683
"206",1996,"mintemp",35.8977900552486
"207",1997,"maxtemp",56.1994134897361
"208",1997,"mintemp",35.1764705882353
"209",1998,"maxtemp",61.5446428571429
"210",1998,"mintemp",42.3898809523809
"211",1999,"maxtemp",59.0615384615385
"212",1999,"mintemp",37.7275541795666
"213",2000,"maxtemp",55.3512747875354
"214",2000,"mintemp",35.3333333333333
"215",2001,"maxtemp",55.7601246105919
"216",2001,"mintemp",34.6363636363636
"217",2002,"maxtemp",57.5549450549451
"218",2002,"mintemp",37.5537190082645
"219",2003,"maxtemp",53.7794117647059
"220",2003,"mintemp",32.8407079646018
"221",2004,"maxtemp",55.4726775956284
"222",2004,"mintemp",35.5437158469945
"223",2005,"maxtemp",56.6657534246575
"224",2005,"mintemp",36.4383561643836
"225",2006,"maxtemp",57.7845303867403
"226",2006,"mintemp",39.1574585635359
"227",2007,"maxtemp",55.7890410958904
"228",2007,"mintemp",35.5917808219178
"229",2008,"maxtemp",56.448087431694
"230",2008,"mintemp",36.275956284153
"231",2009,"maxtemp",55.7287671232877
"232",2009,"mintemp",35.9643835616438
"233",2010,"maxtemp",58.5097493036212
"234",2010,"mintemp",39.1838440111421
"235",2011,"maxtemp",55.8376811594203
"236",2011,"mintemp",36.2695652173913
"237",2012,"maxtemp",59.9153005464481
"238",2012,"mintemp",39.2295081967213
"239",2013,"maxtemp",58.6988636363636
"240",2013,"mintemp",37.5185185185185
"241",2014,"maxtemp",56.584487534626
"242",2014,"mintemp",36.6543909348442
"243",2015,"maxtemp",57.9519774011299
"244",2015,"mintemp",36.2124645892351
"245",2016,"maxtemp",59.8434065934066
"246",2016,"mintemp",38.9340659340659
"247",2017,"maxtemp",58.6383561643836
"248",2017,"mintemp",38.3424657534247
"249",2018,"maxtemp",57.7808219178082
"250",2018,"mintemp",38.3123287671233
"251",2019,"maxtemp",57.0828729281768
"252",2019,"mintemp",36.6878453038674
"253",2020,"maxtemp",60.227397260274
"254",2020,"mintemp",39.1071428571429
"255",2021,"maxtemp",59.1565934065934
"256",2021,"mintemp",39.6115702479339
"257",2022,"maxtemp",60.4050279329609
"258",2022,"mintemp",38.1312849162011
"259",2023,"maxtemp",59.4337016574586
"260",2023,"mintemp",40.3453038674033
"261",2024,"maxtemp",60.2897727272727
"262",2024,"mintemp",40.3806818181818
